ted0,ted1,eth0,eth1,label
11.84005833,-15.25067043,-0.239602193,0.720480263,0
6.069677353,-9.208195686,3.609339476,-1.804651976,0
-12.40633392,14.07069302,-1.559914589,2.015887976,1
-8.302541733,8.264638901,-0.995645404,1.589035034,1
-11.47270012,9.30173111,-2.523964167,2.668001175,1
8.608323097,-10.10846806,3.114139795,-3.272589207,0
-10.65481091,7.724197388,-0.993987918,1.56646347,1
-37.67388153,42.76692581,-1.579832196,1.795155644,1
-14.55450535,12.44392014,-3.024833679,2.602975845,1
-4.934976101,5.970145702,-3.743595123,3.539852858,1
-6.567619801,4.046405315,-1.733904004,1.792978764,1
-7.575077534,7.194671631,-3.046821356,3.780890703,1
9.022595406,-13.21248436,0.349087924,0.122546792,0
5.633989811,-6.435537815,-0.560517907,0.940266609,0
-10.37905407,6.841320515,-3.027811289,3.012174845,1
4.0745821,-5.353146076,0.556620061,-0.533321917,0
7.136354446,-10.47845078,1.485742092,-0.7255584,0
-4.733269691,2.710185051,-4.167016983,5.008141994,1
-10.06776142,7.625085831,-1.837354779,2.142152309,1
-9.322825432,7.923742294,-2.575547457,2.305048466,1
-11.79286098,5.786133766,-1.486572266,1.564778805,1
-11.08155251,12.66839981,-4.401170731,4.550159931,1
5.7315588,-3.872915745,0.342873037,-0.023913261,0
6.648300648,-8.201590538,1.476825595,-0.807219625,0
4.280816555,-4.644861221,0.910588264,-0.663107336,0
8.81968689,-9.899482727,-1.054731369,1.246960998,0
2.349386692,-5.407065392,5.909237385,-1.865386248,0
8.119952202,-5.028312683,2.437477827,-1.673331618,0
3.742950439,-5.487356663,2.035617113,-1.415047526,0
-11.54582882,11.86886978,-2.758326292,2.724659204,1
8.914862633,-9.110268593,1.103242517,-0.450727254,0
8.875083923,-7.485105991,1.163568497,-1.29381752,0
-18.88381577,22.19948387,-1.200188398,1.732770324,1
0.689464867,-5.491133213,1.217483759,-0.744333923,0
3.995794535,-4.688988209,0.279164851,0.087003641,0
1.769484878,-3.917739868,1.332374096,-0.875354707,0
-14.5446825,13.45151711,-4.488614082,5.049060345,1
2.20977807,-6.2742033,1.770021558,-0.844213009,0
6.004973412,-8.025231361,0.270407498,0.271591604,0
-14.38825512,11.72382259,-2.618953705,2.593473673,1
-9.056402206,8.113213539,-8.853528976,8.109182358,1
-17.54213333,17.97987556,-2.733664274,3.097078085,1
-5.370622635,5.557077408,-3.499657869,2.835805655,1
4.730419636,-7.809681892,1.830850363,-1.249624372,0
4.698239326,-8.96018219,-0.93985641,1.586161017,0
10.37024021,-18.89231873,2.581751108,-1.255509138,0
2.002003431,-3.312319756,1.12390697,-0.717334628,0
2.623163462,-4.444708347,-3.487583876,3.816417217,0
-15.62543297,13.68850899,4.124765396,-2.275722265,1
4.792321205,-5.994373798,-2.14214468,1.844279528,0
-15.10842419,11.04762268,1.228897214,-1.120722532,1
-12.89994717,13.51591969,-1.864895582,1.786391735,1
-8.836424828,7.527506351,-2.566576242,2.583193541,1
-11.65477562,10.05314636,-1.691781044,1.817649245,1
-34.78433609,40.07328415,-0.590317428,1.102426648,1
-13.54025364,13.38324451,-1.945650101,2.15409255,1
-15.10237312,15.99606895,2.874616385,-1.83702302,1
7.44273901,-7.816411018,1.93498683,-1.130647659,0
1.815458298,-2.362062931,-3.86147809,5.053994179,0
-7.553934574,6.105995178,4.859447479,-1.961272001,1
5.329683304,-6.285150051,1.08279109,-1.290636897,0
1.189319849,-1.747354627,-2.083826542,2.272876501,0
-11.02006626,10.33167171,1.194694281,-1.036945105,1
-13.76463604,12.18901825,-3.810914755,4.055991173,1
-11.0890274,12.78309536,2.640381813,-1.767426968,1
1.095765471,-5.870584965,-0.400684834,0.551052094,0
-5.574204922,3.796118498,-0.053351223,0.442039818,1
-12.4751215,10.74382305,1.463031769,-1.16773963,1
-0.126920551,0.068568535,1.399565458,-0.883804858,0
3.186623335,-3.999481678,1.015690327,-0.435454518,0
11.94709015,-14.95690727,2.237392426,-1.557343006,0
-1.844347119,-0.792437911,1.146134257,-0.853008568,0
